window-event,window-open,indoor-temp,time,outdoor-temp
True,True,77.18,147918,77.54
False,True,77.18,147919,77.54
False,True,77.18,147920,77.54
False,True,77.18,147921,77.54
False,True,77.18,147922,77.54
False,True,77.18,147923,77.54
False,True,77.18,147924,77.54
False,True,77.18,147926,77.54
False,True,77.18,147928,77.54
True,True,77.36,147930,75.38
False,True,77.36,147931,75.38
False,True,77.36,147932,75.38
False,True,77.36,147933,75.38
False,True,77.36,147934,75.38
False,True,77.36,147935,75.38
False,True,77.36,147936,75.38
False,True,77.36,147937,75.38
True,True,77.36,147939,75.38
False,True,77.36,147940,75.38
False,True,77.36,147941,75.38
False,True,77.36,147942,75.38
False,True,77.18,147943,75.38
False,True,77.18,147944,75.38
False,True,77.18,147945,72.5
False,True,77.18,147946,72.5
False,True,77.36,147947,72.5
False,True,77.36,147948,72.5
False,True,77.54,147949,72.5
False,True,77.54,147950,72.5
True,False,77.54,147951,72.5
True,True,77.54,147963,70.34
False,True,77.54,147964,70.34
False,True,77.54,147965,70.34
False,True,77.36,147966,70.34
False,True,77.36,147967,70.34
True,False,77.36,147968,70.34
False,False,77.36,147969,70.34
False,False,77.36,147970,70.34
False,False,77.36,147971,70.34
False,False,77.36,147972,70.34
False,False,77.18,147973,70.34
False,False,77.18,147974,70.34
False,False,77.18,147975,68.72
False,False,77.18,147976,68.72
False,False,77.18,147977,68.72
False,False,77.0,147978,68.72
False,False,77.0,147979,68.72
False,False,76.82,147980,68.72
False,False,76.64,147981,68.72
False,False,76.64,147982,68.72
False,False,76.64,147983,68.72
False,False,76.82,147984,68.72
False,False,76.64,147985,68.72
False,False,76.64,147986,68.9
False,False,76.64,147987,68.9
False,False,76.46,147988,68.9
False,False,76.46,147989,68.9
False,False,76.28,147990,67.64
False,False,76.28,147991,67.64
False,False,76.28,147992,67.64
False,False,76.28,147993,67.64
False,False,76.28,147994,67.64
False,False,76.28,147995,67.64
False,False,76.28,147996,67.64
False,False,76.46,147997,67.64
False,False,76.46,147998,67.64
False,False,76.46,147999,67.64
False,False,76.64,148000,67.64
False,False,76.64,148001,67.64
False,False,76.64,148002,67.64
False,False,76.64,148003,67.64
False,False,76.64,148004,67.64
False,False,76.82,148005,66.38
False,False,76.82,148006,66.38
False,False,77.18,148007,66.38
False,False,77.36,148008,66.38
False,False,77.54,148009,66.38
False,False,77.54,148010,66.38
False,False,77.54,148011,66.38
False,False,77.54,148012,66.38
False,False,77.72,148013,66.38
False,False,77.9,148014,66.38
False,False,78.08,148015,66.38
False,False,78.08,148016,66.38
False,False,78.08,148017,66.38
False,False,77.9,148018,66.38
False,False,78.08,148019,66.38
False,False,77.9,148020,65.66
False,False,77.9,148021,65.66
False,False,78.08,148022,65.66
False,False,78.08,148023,65.66
False,False,78.08,148024,65.66
False,False,78.08,148025,65.66
False,False,78.08,148026,65.66
False,False,78.08,148027,65.66
False,False,78.08,148028,65.66
False,False,78.08,148029,65.66
False,False,78.08,148030,65.66
False,False,78.25999999999999,148031,65.66
False,False,78.25999999999999,148032,65.66
False,False,78.25999999999999,148033,65.66
False,False,78.25999999999999,148034,65.66
False,False,78.25999999999999,148035,64.75999999999999
False,False,78.25999999999999,148036,64.75999999999999
False,False,78.25999999999999,148037,64.75999999999999
False,False,78.08,148038,64.75999999999999
False,False,77.54,148039,64.75999999999999
False,False,76.64,148040,64.75999999999999
False,False,76.1,148041,64.75999999999999
False,False,75.38,148042,64.75999999999999
False,False,75.38,148043,64.75999999999999
False,False,75.92,148044,64.75999999999999
False,False,76.28,148045,64.75999999999999
False,False,76.64,148046,64.75999999999999
False,False,77.0,148047,64.75999999999999
False,False,77.18,148048,64.75999999999999
False,False,77.36,148049,64.75999999999999
False,False,77.54,148050,64.04
False,False,77.54,148051,64.04
False,False,77.72,148052,64.04
False,False,77.72,148053,64.04
False,False,77.9,148054,64.04
False,False,77.9,148057,64.04
False,False,77.18,148058,64.04
False,False,76.46,148059,64.04
False,False,76.1,148060,64.04
False,False,75.56,148061,64.04
False,False,75.56,148062,64.04
False,False,75.92,148063,64.04
False,False,76.46,148064,64.04
False,False,76.64,148065,63.32
False,False,77.0,148066,63.32
False,False,77.36,148067,63.32
False,False,77.54,148068,63.32
False,False,77.72,148069,63.32
False,False,77.9,148070,63.32
False,False,78.08,148071,63.32
False,False,78.25999999999999,148072,63.32
False,False,78.25999999999999,148073,63.32
False,False,78.44,148074,63.32
False,False,78.25999999999999,148075,63.32
False,False,77.54,148076,63.32
False,False,77.0,148077,63.32
False,False,76.28,148078,63.32
False,False,75.74000000000001,148079,63.32
False,False,75.38,148080,62.78
False,False,75.56,148081,62.78
False,False,76.1,148082,63.14
False,False,76.46,148083,63.14
False,False,76.82,148084,63.14
False,False,77.18,148085,63.14
False,False,77.36,148086,63.14
False,False,77.54,148087,63.14
False,False,77.72,148088,63.14
False,False,77.72,148089,63.14
False,False,77.9,148090,63.14
False,False,77.9,148091,63.14
False,False,78.08,148092,63.14
False,False,77.72,148093,63.14
False,False,77.18,148094,63.14
False,False,76.46,148095,62.42
False,False,75.92,148096,62.42
False,False,75.56,148097,62.42
False,False,75.2,148098,62.42
False,False,75.38,148099,62.42
False,False,75.74000000000001,148100,62.42
False,False,76.1,148101,62.42
False,False,76.28,148102,62.42
False,False,76.64,148103,62.42
False,False,76.82,148104,62.42
False,False,77.18,148105,62.42
False,False,77.36,148106,62.42
False,False,77.36,148107,62.42
False,False,77.72,148108,62.42
False,False,77.72,148109,62.42
False,False,77.72,148110,61.7
False,False,77.54,148111,61.7
False,False,77.0,148112,61.7
False,False,76.28,148113,61.7
False,False,75.74000000000001,148114,61.7
False,False,75.38,148115,61.7
False,False,75.02,148116,61.7
False,False,75.38,148117,61.7
False,False,75.74000000000001,148118,61.7
False,False,75.92,148119,61.7
False,False,76.28,148120,61.7
False,False,76.46,148121,61.7
False,False,76.46,148122,61.7
False,False,76.46,148123,61.7
False,False,76.64,148124,61.7
False,False,76.46,148125,61.16
False,False,76.64,148126,61.16
False,False,76.64,148127,61.16
False,False,76.28,148128,61.16
False,False,75.92,148129,61.16
False,False,75.38,148130,61.16
False,False,74.66,148131,61.16
False,False,74.3,148132,61.16
False,False,73.94,148133,61.16
False,False,73.94,148134,61.16
False,False,74.3,148135,61.16
False,False,74.66,148136,61.16
False,False,75.02,148137,61.16
False,False,75.2,148138,61.16
False,False,75.38,148139,61.16
False,False,75.56,148140,60.62
False,False,75.74000000000001,148141,60.62
False,False,75.92,148142,60.62
